期次,开奖号码,,,,
180731001,3,8,8,5,7
180731002,0,4,9,3,6
180731003,8,4,5,0,0
180731004,6,5,1,1,3
180731005,1,4,2,1,3
180731006,8,3,7,5,6
180731007,7,0,2,3,3
180731008,0,8,9,9,7
180731009,4,3,6,1,8
180731010,5,2,2,5,2
180731011,2,5,2,0,7
180731012,9,7,0,4,3
180731013,7,6,5,4,7
180731014,6,9,4,3,7
180731015,5,0,1,4,3
180731016,5,1,7,4,4
180731017,2,9,4,9,6
180731018,4,1,1,1,1
180731019,0,3,7,8,2
180731020,2,1,0,3,0
180731021,5,2,7,6,6
180731022,5,4,9,6,2
180731023,9,6,8,7,8
180731024,2,2,8,7,6
180731025,5,5,3,3,2
180731026,1,3,9,9,4
180731027,2,9,3,8,8
180731028,9,8,9,2,7
180731029,7,5,5,8,1
180731030,3,7,7,2,3
180731031,7,4,7,7,7
180731032,0,9,2,2,4
180731033,4,7,2,0,7
180731034,7,5,7,6,1
180731035,1,3,3,7,0
180731036,6,2,1,6,7
180731037,0,0,8,0,5
180731038,8,9,5,0,3
180731039,2,7,7,4,7
180731040,5,4,1,6,8
180731041,8,0,2,3,1
180731042,8,8,1,4,6
180731043,7,0,3,3,3
180731044,0,5,1,1,0
180731045,8,2,3,1,7
180731046,1,4,1,6,2
180731047,8,6,4,9,3
180731048,7,3,0,1,4
180731049,6,7,4,4,3
180731050,8,7,4,2,9
180731051,5,7,2,8,3
180731052,3,8,2,3,5
180731053,3,3,6,7,9
180731054,4,8,8,5,1
180731055,7,2,9,5,1
180731056,6,8,6,0,0
180731057,4,1,5,7,9
180731058,8,3,0,8,6
180731059,3,6,8,1,8
180731060,9,5,3,4,9
180731061,1,0,5,2,5
180731062,3,8,6,6,9
180731063,0,5,3,9,5
180731064,2,5,1,0,0
180731065,2,9,3,2,6
180731066,6,0,0,1,9
180731067,2,5,3,4,0
180731068,8,1,7,5,4
180731069,0,9,2,5,2
180731070,5,9,8,7,8
180731071,6,0,9,0,1
180731072,9,0,8,0,4
180731073,4,8,5,9,8
180731074,5,0,3,4,0
180731075,3,5,3,1,9
180731076,1,1,9,2,8
180731077,8,7,3,9,8
180731078,0,8,4,2,7
180731079,4,1,8,7,1
180731080,3,3,4,4,4
180731081,2,5,3,4,1
180731082,4,4,1,5,9
180731083,0,6,7,9,5
180731084,4,6,6,1,3
180731085,1,7,9,2,1
180731086,9,3,2,1,2
180731087,7,7,4,2,5
180731088,9,7,8,6,2
180731089,6,4,2,5,3
180731090,8,0,8,8,8
180731091,3,8,2,5,9
180731092,9,4,8,1,6
180731093,5,6,8,3,8
180731094,4,5,2,4,7
180731095,2,1,4,1,6
180731096,5,9,5,4,9
180731097,6,6,5,6,2
180731098,8,8,0,3,5
180731099,9,9,2,6,0
180731100,7,6,8,4,8
180731101,6,0,8,3,9
180731102,8,7,9,3,8
180731103,4,3,4,4,3
180731104,7,7,4,7,5
180731105,0,7,1,1,8
180731106,3,9,3,0,6
180731107,8,2,6,9,4
180731108,8,6,2,0,0
180731109,8,5,7,3,4
180731110,5,7,2,2,2
180731111,3,7,3,3,9
180731112,6,4,2,7,9
180731113,6,5,3,3,1
180731114,1,5,5,3,3
180731115,1,0,3,6,1
180731116,0,3,8,3,0
180731117,9,5,4,2,7
180731118,2,4,7,3,2
180731119,9,8,5,4,5
180731120,6,3,8,4,6
180801001,4,3,5,0,0
180801002,0,0,8,3,3
180801003,8,4,8,5,8
180801004,1,4,5,1,2
180801005,8,8,9,7,6
180801006,0,3,2,2,8
180801007,9,1,7,8,5
180801008,2,9,8,3,2
180801009,8,7,2,1,5
180801010,2,1,0,4,6
180801011,6,8,3,9,5
180801012,0,2,2,1,4
180801013,0,9,8,4,7
180801014,9,4,6,2,1
180801015,3,0,4,4,6
180801016,7,2,4,0,7
180801017,2,1,8,4,6
180801018,8,2,2,6,1
180801019,6,1,3,2,3
180801020,5,1,7,5,4
180801021,6,2,8,7,6
180801022,4,8,7,1,3
180801023,6,4,2,5,0
180801024,9,9,9,9,2
180801025,5,6,4,9,4
180801026,5,6,3,0,9
180801027,8,1,4,3,7
180801028,1,4,1,7,2
180801029,4,0,7,1,4
180801030,2,4,4,4,2
180801031,3,6,9,8,8
180801032,0,0,0,0,5
180801033,2,4,8,4,0
180801034,9,0,0,3,7
180801035,8,7,8,1,7
180801036,9,2,3,4,7
180801037,7,7,2,7,9
180801038,5,3,8,7,3
180801039,6,7,1,5,6
180801040,1,8,1,4,8
180801041,3,9,0,0,0
180801042,9,3,4,6,9
180801043,1,8,5,6,4
180801044,6,6,1,3,0
180801045,8,2,2,8,9
180801046,0,8,4,6,1
180801047,8,1,6,8,3
180801048,6,6,5,3,3
180801049,7,7,9,5,1
180801050,4,6,6,1,0
180801051,3,8,1,6,9
180801052,0,1,4,3,6
180801053,0,5,7,2,1
180801054,3,3,9,6,1
180801055,4,0,7,4,7
180801056,5,7,5,4,8
180801057,7,8,2,3,2
180801058,3,3,5,5,6
180801059,6,0,6,6,2
180801060,2,3,0,1,5
180801061,2,3,5,7,1
180801062,3,3,8,1,2
180801063,1,0,1,1,8
180801064,4,6,7,4,5
180801065,0,1,2,2,6
180801066,9,1,1,1,6
180801067,1,6,9,8,5
180801068,2,2,0,9,7
180801069,4,1,6,6,3
180801070,0,2,6,0,1
180801071,6,5,1,0,9
180801072,5,2,0,6,5
180801073,0,0,0,6,1
180801074,5,6,4,2,1
180801075,1,2,2,4,6
180801076,9,3,4,2,9
180801077,6,2,5,0,7
180801078,2,0,3,7,8
180801079,1,7,2,8,7
180801080,9,1,9,5,9
180801081,8,1,4,6,4
180801082,3,0,1,4,3
180801083,5,4,3,0,2
180801084,3,3,6,3,9
180801085,6,9,1,4,7
180801086,7,1,7,9,6
180801087,8,2,0,3,5
180801088,8,0,8,8,5
180801089,3,1,6,3,2
180801090,7,8,6,0,3
180801091,4,5,4,3,5
180801092,1,8,5,5,1
180801093,5,4,9,6,6
180801094,8,6,9,9,9
180801095,0,0,7,3,8
180801096,5,0,5,1,3
180801097,7,7,0,6,7
180801098,9,7,2,2,2
180801099,9,2,7,3,6
180801100,4,1,0,9,6
180801101,0,7,8,9,9
180801102,3,9,5,8,1
180801103,9,8,2,5,6
180801104,7,0,2,1,6
180801105,3,3,0,9,5
180801106,6,7,9,8,8
180801107,0,8,2,5,1
180801108,9,3,8,4,6
180801109,4,5,9,9,9
180801110,8,8,1,5,9
180801111,9,9,0,4,0
180801112,2,3,0,2,5
180801113,1,5,5,9,4
180801114,6,5,9,0,3
180801115,7,8,6,8,8
180801116,6,6,9,7,3
180801117,4,5,4,9,0
180801118,0,9,4,9,9
180801119,1,4,6,4,5
180801120,3,9,6,1,9
180802001,1,0,7,9,3
180802002,7,9,9,6,2
180802003,0,4,9,6,6
180802004,4,3,7,4,1
180802005,3,8,9,3,5
180802006,1,2,0,6,4
180802007,4,5,0,7,4
180802008,3,3,3,9,8
180802009,9,9,6,9,8
180802010,7,0,8,2,9
180802011,7,1,9,0,6
180802012,2,9,6,8,1
180802013,0,3,1,8,5
180802014,0,7,3,6,6
180802015,8,0,0,6,8
180802016,3,1,1,0,0
180802017,0,1,0,9,2
180802018,1,3,8,7,3
180802019,0,0,1,3,4
180802020,6,1,9,7,1
180802021,2,3,8,3,6
180802022,3,6,0,5,6
180802023,1,1,6,4,7
180802024,8,9,5,6,0
180802025,1,7,4,6,3
180802026,1,3,7,0,4
180802027,5,8,0,4,1
180802028,4,7,1,3,1
180802029,7,8,3,8,5
180802030,2,0,7,2,0
180802031,8,4,0,6,6
180802032,2,1,6,2,7
180802033,0,5,5,6,5
180802034,1,7,9,2,1
180802035,0,2,7,3,0
180802036,8,4,3,3,7
180802037,6,0,5,8,3
180802038,6,3,9,5,7
180802039,8,4,5,0,1
180802040,7,3,8,5,1
180802041,8,4,6,5,2
180802042,0,3,0,0,6
180802043,4,1,8,5,9
180802044,8,7,0,1,5
180802045,7,9,1,1,0
180802046,7,9,7,8,1
180802047,3,7,9,4,6
180802048,4,4,6,5,1
180802049,5,6,7,5,1
180802050,6,7,2,3,7
180802051,0,6,8,4,6
180802052,2,7,7,8,0
180802053,8,6,6,7,0
180802054,8,6,6,6,2
180802055,4,4,1,3,8
180802056,5,8,3,2,9
180802057,6,7,7,6,8
180802058,9,2,3,1,9
180802059,2,7,1,9,4
180802060,1,8,4,0,5
180802061,0,9,6,0,5
180802062,8,5,5,9,9
180802063,9,7,9,3,2
180802064,3,4,2,5,0
180802065,8,4,1,7,6
180802066,4,6,1,9,6
180802067,1,5,0,9,5
180802068,7,3,2,4,0
180802069,2,0,9,1,0
180802070,1,6,7,0,8
180802071,4,3,1,6,2
180802072,1,9,2,5,4
180802073,7,7,6,7,9
180802074,7,0,5,1,2
180802075,7,3,4,7,1
180802076,8,1,4,9,9
180802077,2,3,4,8,4
180802078,6,9,0,3,5
180802079,2,4,4,3,1
180802080,5,9,9,0,1
180802081,6,2,8,8,5
180802082,3,5,5,1,8
180802083,0,6,6,0,7
180802084,1,5,0,2,8
180802085,8,6,3,9,9
180802086,8,7,0,9,9
180802087,1,6,3,1,6
180802088,3,5,2,4,7
180802089,3,7,3,9,7
180802090,0,0,8,3,2
180802091,1,0,0,7,8
180802092,6,7,7,5,0
180802093,1,2,3,3,8
180802094,2,3,9,6,7
180802095,7,4,8,5,9
180802096,8,5,6,6,6
180802097,5,9,8,4,5
180802098,8,5,6,9,8
180802099,0,0,1,8,3
180802100,6,8,8,9,2
180802101,9,8,5,8,8
180802102,3,6,9,9,7
180802103,6,8,9,0,3
180802104,7,4,2,5,5
180802105,7,3,9,1,6
180802106,2,6,5,9,5
180802107,7,6,3,1,4
180802108,0,5,0,4,3
180802109,4,1,5,0,5
180802110,4,7,8,6,5
180802111,9,2,6,1,7
180802112,8,5,4,7,7
180802113,8,8,5,6,3
180802114,2,1,6,7,8
180802115,9,2,4,3,1
180802116,8,9,9,8,8
180802117,8,7,3,9,1
180802118,1,8,6,4,9
180802119,3,3,2,9,4
180802120,4,1,5,6,0
180803001,9,3,6,2,5
180803002,2,9,7,1,3
180803003,7,4,9,3,3
180803004,0,8,0,4,1
180803005,9,8,9,1,9
180803006,7,7,5,7,8
180803007,3,2,4,0,3
180803008,9,3,4,9,6
180803009,2,2,5,5,7
180803010,8,0,3,5,3
180803011,6,3,3,6,8
180803012,4,1,5,4,3
180803013,4,9,1,3,5
180803014,5,5,6,5,1
180803015,7,8,1,3,6
180803016,5,4,9,1,7
180803017,6,0,5,1,9
180803018,6,4,8,6,9
180803019,5,2,0,7,6
180803020,5,7,4,7,0
180803021,3,9,4,0,5
180803022,4,6,2,1,3
180803023,8,6,1,3,0
180803024,2,8,6,0,6
180803025,7,2,0,4,8
180803026,9,9,2,6,0
180803027,6,7,9,2,5
180803028,7,9,9,3,8
180803029,7,6,0,7,7
180803030,2,3,2,4,4
180803031,8,3,8,9,5
180803032,2,2,5,2,7
180803033,8,5,8,2,3
180803034,0,8,7,0,0
180803035,2,6,4,5,8
180803036,4,2,1,5,7
180803037,7,4,8,3,8
180803038,4,9,0,4,2
180803039,9,8,5,6,3
180803040,1,7,8,3,7
180803041,6,0,8,5,7
180803042,9,7,3,0,1
180803043,0,7,2,6,0
180803044,7,6,2,3,9
180803045,2,4,0,5,7
180803046,7,5,2,0,8
180803047,8,5,1,1,0
180803048,1,6,9,4,6
180803049,9,7,0,4,9
180803050,0,1,1,4,4
180803051,0,2,5,3,4
180803052,2,2,4,1,6
180803053,5,5,6,1,1
180803054,7,7,8,0,9
180803055,4,9,7,2,6
180803056,5,1,6,4,0
180803057,4,0,9,6,9
180803058,2,5,0,1,7
180803059,1,9,1,4,4
180803060,8,8,8,3,2
180803061,7,1,3,1,4
180803062,4,0,6,4,7
180803063,8,6,6,4,5
180803064,3,3,7,6,9
180803065,8,8,4,3,9
180803066,9,9,9,1,7
180803067,0,5,8,8,8
180803068,5,6,5,6,3
180803069,0,1,9,2,6
180803070,5,7,5,2,8
180803071,1,6,0,0,5
180803072,5,7,0,7,5
180803073,0,5,0,9,5
180803074,6,0,8,7,1
180803075,8,3,4,0,6
180803076,1,1,6,7,0
180803077,1,8,2,4,6
180803078,4,3,6,3,4
180803079,3,1,6,9,6
180803080,3,2,3,2,0
180803081,3,4,8,5,0
180803082,8,5,8,3,8
180803083,1,7,9,4,0
180803084,3,1,8,1,0
180803085,5,2,4,7,9
180803086,5,4,2,3,4
180803087,9,8,5,8,8
180803088,0,1,1,8,4
180803089,1,0,1,9,9
180803090,0,0,0,5,1
180803091,7,6,9,6,4
180803092,8,8,7,2,5
180803093,7,4,0,6,9
180803094,8,7,6,5,5
180803095,4,9,0,9,7
180803096,4,8,9,9,5
180803097,6,5,4,0,8
180803098,2,2,5,8,1
180803099,8,9,3,7,0
180803100,6,0,8,4,7
180803101,4,7,0,3,1
180803102,9,9,0,8,4
180803103,1,7,1,5,7
180803104,4,1,9,2,6
180803105,7,8,2,5,2
180803106,8,4,0,2,3
180803107,2,4,0,2,4
180803108,9,0,7,1,4
180803109,3,2,1,7,9
180803110,9,5,2,4,1
180803111,3,4,2,2,2
180803112,7,8,2,4,3
180803113,6,4,7,8,1
180803114,8,1,9,6,6
180803115,5,4,8,7,0
180803116,3,8,8,7,3
180803117,7,6,1,1,8
180803118,1,0,3,8,9
180803119,8,1,0,2,7
180803120,1,5,5,9,5
180804001,2,6,0,8,0
180804002,1,5,2,4,2
180804003,4,0,8,1,2
180804004,9,5,1,6,7
180804005,8,5,0,5,0
180804006,9,2,5,3,5
180804007,5,5,2,9,4
180804008,4,1,8,1,8
180804009,7,9,6,0,3
180804010,4,4,7,4,5
180804011,4,0,3,2,1
180804012,2,5,3,8,4
180804013,6,3,3,6,2
180804014,7,0,5,9,3
180804015,4,9,3,1,8
180804016,9,3,0,8,1
180804017,6,0,6,6,1
180804018,8,5,6,1,0
180804019,8,6,9,1,0
180804020,5,0,2,3,9
180804021,6,2,6,0,3
180804022,0,4,6,2,4
180804023,1,0,2,1,9
180804024,4,6,5,3,9
180804025,3,2,3,3,4
180804026,3,7,0,7,2
180804027,5,5,1,3,2
180804028,4,9,5,9,8
180804029,2,7,0,1,0
180804030,9,3,2,2,4
180804031,0,0,5,7,8
180804032,3,1,9,7,7
180804033,3,9,1,4,9
180804034,5,8,0,9,2
180804035,1,6,0,3,8
180804036,8,2,1,6,4
180804037,3,3,6,2,0
180804038,4,6,0,4,6
180804039,1,8,6,8,0
180804040,1,2,2,3,1
180804041,9,2,4,5,3
180804042,8,2,3,4,8
180804043,1,4,0,6,4
180804044,6,3,5,0,7
180804045,2,5,6,3,4
180804046,8,1,5,1,7
180804047,8,0,1,5,9
180804048,3,8,7,0,3
180804049,9,7,2,1,8
180804050,8,2,1,9,0
180804051,8,3,3,3,9
180804052,7,6,1,1,2
180804053,9,8,9,0,5
180804054,5,2,0,3,4
180804055,5,5,9,3,9
180804056,1,5,7,7,8
180804057,2,2,6,6,4
180804058,8,7,6,1,1
180804059,7,7,2,8,0
180804060,4,3,7,6,8
180804061,1,0,8,8,0
180804062,8,3,1,7,2
180804063,7,1,1,0,0
180804064,3,2,8,0,0
180804065,0,8,3,4,7
180804066,4,5,7,3,5
180804067,4,1,3,0,6
180804068,6,4,5,3,3
180804069,1,0,8,2,2
180804070,6,4,9,4,5
180804071,7,0,0,4,7
180804072,3,8,7,6,5
180804073,7,4,8,6,5
180804074,5,3,0,4,4
180804075,3,8,4,1,1
180804076,2,5,5,0,4
180804077,6,6,5,6,1
180804078,2,3,3,3,3
180804079,2,9,9,3,8
180804080,3,0,7,5,1
180804081,3,5,1,8,6
180804082,0,2,7,9,1
180804083,8,0,3,3,3
180804084,8,4,8,8,7
180804085,4,8,1,4,4
180804086,9,7,5,6,2
180804087,7,4,6,2,5
180804088,6,6,2,7,8
180804089,4,9,9,4,4
180804090,9,3,1,3,3
